geneid,iDUX4_logFC,iDUX4_logCPM,iDUX4_LR,iDUX4_pval,iDUX4_fdr,hl.ratio,area,protein.length,rep,IQR,QCoD,count,mean,sd,zscore,pval
HNRNPCL1,6.855266854,7.277203162,1210.899149,2.61E-265,5.38E-263,7.874354852,1227426.906,293,3.444444444,4.039485589,0.512992577,9,-0.007594094,0.298259054,26.42652028,6.79E-154
NEUROG2,6.737654307,3.554887729,84.1910286,4.49E-20,4.07E-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRAMEF9,6.726204127,7.422252452,936.3669318,1.22E-205,1.70E-203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EOMES,6.725021112,3.468104018,78.56045088,7.76E-19,6.53E-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZNF705G,6.711872708,6.051607836,531.9839543,1.05E-117,6.72E-116,4.453406175,235523.9609,300,3.5,1.381913825,0.310304915,2,0.125445567,1.495892887,2.89322895,0.003813032
PRAMEF7,6.680313518,8.76243641,2625.293562,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRAMEF14,6.669770467,8.946041188,2453.257037,0,0,4.424577533,265829.4106,474,3.6,1.777642497,0.401765476,5,-0.013015837,0.472532982,9.391076471,5.94E-21
NLRP4,6.668216863,3.955909571,114.5033644,1.01E-26,1.22E-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZIM3,6.663773175,3.918826319,111.2652656,5.18E-26,6.06E-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRAMEF15,6.615009009,7.775302768,1147.329368,1.71E-251,3.10E-249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRAMEF5,6.587466872,7.000303394,925.767577,2.46E-203,3.39E-201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRAMEF10,6.578820454,6.13349069,560.2588136,7.38E-124,5.10E-122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SLC34A2,6.572821835,10.96433586,3966.087971,0,0,8.16904719,1352886.813,690,3.745762712,2.917727355,0.357168625,59,8.43E-04,0.10326344,79.10063799,0
PRAMEF20,6.532737861,6.133548487,504.3509878,1.07E-111,6.50E-110,4.297647,172089.8828,475,3,0,0,1,-0.017937339,1.717034001,2.513394805,0.011957543
PRAMEF11,6.491788243,7.463810578,1356.878609,4.93E-297,1.18E-294,-7.667521298,1904498.641,436,3,0,0,1,0.019847779,2.091720696,-3.675141281,2.38E-04
ZSCAN5D,6.466187033,7.964082156,1992.617863,0,0,6.626382173,901703.9795,497,3.6,2.984041129,0.450327351,30,-0.00725226,0.149808465,44.28077155,0
ART3,6.446425428,3.152709256,59.95061849,9.73E-15,6.37E-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KBTBD8,6.40630453,5.487104427,349.9208207,4.41E-78,1.77E-76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRAMEF4,6.244193216,5.685673141,399.7241821,6.32E-89,2.86E-87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CRHBP,6.200378027,3.605598077,84.8428417,3.23E-20,2.96E-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRIM36,6.170790449,5.161919276,272.7806336,2.81E-61,8.63E-60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZNF679,6.094329227,3.287896461,65.31627517,6.38E-16,4.47E-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RP11-24B21.1,6.09098011,5.832623394,439.5113545,1.38E-97,7.03E-96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZSCAN5B,6.07891142,5.074405819,254.4319872,2.81E-57,8.10E-56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FRG2,6.060781589,4.962243334,234.1190431,7.53E-53,1.98E-51,1.607196251,46018.91406,279,3.5,0.527377128,0.328134867,2,0.029633842,1.485764688,1.061784832,0.288333377
PTGER3,6.043010121,3.336289189,67.66283047,1.94E-16,1.41E-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MBD3L5,6.00909329,4.865164409,217.308051,3.50E-49,8.48E-48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HSPA6,5.953507738,4.342423114,146.8157308,8.61E-34,1.32E-32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MRAP2,5.951348936,3.166723398,58.51012405,2.02E-14,1.30E-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PANX2,5.890140825,4.68620501,188.7664795,5.91E-43,1.22E-41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA2,5.870334271,6.731687157,816.56246,1.35E-179,1.61E-177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PKIB,5.836459492,3.711037634,89.68848765,2.79E-21,2.70E-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RFPL4A,5.823180338,9.362629681,2949.742516,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MBD3L3,5.784348268,9.910534857,3286.225446,0,0,6.730278595,960245.0781,208,3.806451613,3.393945077,0.504280028,31,-0.007001116,0.145151529,46.41549261,0
ITGA8,5.750436512,2.293564099,26.89400151,2.15E-07,7.70E-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RP11-1118M6.1,5.744577015,3.000985029,50.07776176,1.48E-12,8.41E-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SIAH1,5.712492243,8.793772926,3098.819788,0,0,5.77011278,768049.4688,313,3,3.635546605,0.630065086,3,0.052113864,0.769368721,7.432065742,1.07E-13
TAF4B,5.704018065,7.066494992,1017.731478,2.51E-223,3.97E-221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MBD3L2,5.688455741,9.669045931,2696.892005,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC084121.16,5.680773309,2.971096944,48.51710965,3.27E-12,1.80E-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENAM,5.658213887,3.411420689,69.63379561,7.14E-17,5.30E-16,5.422664342,222205.5688,1142,3,0,0,1,0.069153493,2.006651202,2.66788311,0.007633081
SGCG,5.637738402,2.76162604,40.36392548,2.11E-10,1.01E-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SNAI1,5.629056131,4.854869757,209.2237619,2.03E-47,4.71E-46,4.797677781,227956.0244,264,3,1.90611742,0.397300008,2,0.057279122,1.414847558,3.350466014,8.07E-04
ZNF296,5.600606103,5.487474894,330.5070431,7.45E-74,2.75E-72,2.293466933,91446.86719,475,3,0,0,1,0.063994423,1.984812373,1.123266128,0.261324485
TRIM51BP,5.599722358,7.244802591,1141.737498,2.80E-250,4.94E-248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLEC17A,5.568430894,2.610215239,35.05679132,3.20E-09,1.39E-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FRG2B,5.546467298,5.932578591,452.0929096,2.53E-100,1.33E-98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NT5C1B,5.541656476,5.831443262,420.4891354,1.91E-93,9.40E-92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
