ensembl_transcript_id	molecule	timepoint	replicate	count
ENST00000288774.7_29_1067	rna	14h	rep1	3.5
ENST00000288774.7_29_1067	rna	14h	rep2	6
ENST00000288774.7_29_1067	rna	14h	rep3	7.5
ENST00000447513.6_70_1048	rna	0h	rep1	23.5
ENST00000447513.6_70_1048	rna	0h	rep2	29.5
ENST00000447513.6_70_1048	rna	0h	rep3	25.5
ENST00000447513.6_70_1048	rna	14h	rep1	3.5
ENST00000447513.6_70_1048	rna	14h	rep2	6
ENST00000447513.6_70_1048	rna	14h	rep3	7.5
ENST00000378466.7_42_2361	rna	0h	rep1	90
ENST00000378466.7_42_2361	rna	0h	rep2	88
ENST00000378466.7_42_2361	rna	0h	rep3	97
ENST00000378466.7_42_2361	rna	14h	rep1	56
ENST00000378466.7_42_2361	rna	14h	rep2	38
ENST00000378466.7_42_2361	rna	14h	rep3	60
ENST00000355716.4_300_1149	rna	0h	rep1	13
ENST00000355716.4_300_1149	rna	0h	rep2	16
ENST00000355716.4_300_1149	rna	0h	rep3	22
ENST00000355716.4_300_1149	rna	14h	rep1	4
ENST00000355716.4_300_1149	rna	14h	rep2	0
ENST00000355716.4_300_1149	rna	14h	rep3	4
ENST00000378425.9_47_623	rna	0h	rep1	7.25
ENST00000378425.9_47_623	rna	0h	rep2	6.5
ENST00000378425.9_47_623	rna	0h	rep3	7
ENST00000378425.9_47_623	rna	14h	rep1	0
ENST00000378425.9_47_623	rna	14h	rep2	0.75
ENST00000378425.9_47_623	rna	14h	rep3	0
ENST00000537325.5_1_574	rna	0h	rep1	7.25
ENST00000537325.5_1_574	rna	0h	rep2	6.5
ENST00000537325.5_1_574	rna	0h	rep3	7
ENST00000537325.5_1_574	rna	14h	rep1	0
ENST00000537325.5_1_574	rna	14h	rep2	0.75
ENST00000537325.5_1_574	rna	14h	rep3	0
ENST00000419916.6_112_706	rna	0h	rep1	7.25
ENST00000419916.6_112_706	rna	0h	rep2	7.5
ENST00000419916.6_112_706	rna	0h	rep3	8
ENST00000419916.6_112_706	rna	14h	rep1	0
ENST00000419916.6_112_706	rna	14h	rep2	1.75
ENST00000419916.6_112_706	rna	14h	rep3	0
ENST00000444521.6_137_785	rna	0h	rep1	7.25
ENST00000444521.6_137_785	rna	0h	rep2	7.5
ENST00000444521.6_137_785	rna	0h	rep3	8
ENST00000444521.6_137_785	rna	14h	rep1	0
ENST00000444521.6_137_785	rna	14h	rep2	1.75
ENST00000444521.6_137_785	rna	14h	rep3	0
ENST00000356575.8_570_4851	rna	0h	rep1	6
ENST00000356575.8_570_4851	rna	0h	rep2	10
ENST00000356575.8_570_4851	rna	0h	rep3	6
ENST00000356575.8_570_4851	rna	14h	rep1	1
ENST00000356575.8_570_4851	rna	14h	rep2	5
ENST00000356575.8_570_4851	rna	14h	rep3	5
ENST00000378344.6_72_888	rna	0h	rep1	30
ENST00000378344.6_72_888	rna	0h	rep2	40
ENST00000378344.6_72_888	rna	0h	rep3	30
ENST00000378344.6_72_888	rna	14h	rep1	15
ENST00000378344.6_72_888	rna	14h	rep2	13
ENST00000378344.6_72_888	rna	14h	rep3	12
ENST00000270708.11_75_1455	rna	0h	rep1	65
ENST00000270708.11_75_1455	rna	0h	rep2	75
ENST00000270708.11_75_1455	rna	0h	rep3	73
ENST00000270708.11_75_1455	rna	14h	rep1	19
ENST00000270708.11_75_1455	rna	14h	rep2	16
ENST00000270708.11_75_1455	rna	14h	rep3	26
ENST00000346387.8_111_1731	rna	0h	rep1	3.87
ENST00000346387.8_111_1731	rna	0h	rep2	6.4
ENST00000346387.8_111_1731	rna	0h	rep3	3.3
ENST00000346387.8_111_1731	rna	14h	rep1	0.4
ENST00000346387.8_111_1731	rna	14h	rep2	0
ENST00000346387.8_111_1731	rna	14h	rep3	0.33
ENST00000354437.8_111_1608	rna	0h	rep1	3.2
ENST00000354437.8_111_1608	rna	0h	rep2	6.4
ENST00000354437.8_111_1608	rna	0h	rep3	2.47
ENST00000354437.8_111_1608	rna	14h	rep1	0.73
ENST00000354437.8_111_1608	rna	14h	rep2	0
ENST00000354437.8_111_1608	rna	14h	rep3	0
ENST00000357733.7_111_1776	rna	0h	rep1	3.87
ENST00000357733.7_111_1776	rna	0h	rep2	7.4
ENST00000357733.7_111_1776	rna	0h	rep3	3.47
ENST00000357733.7_111_1776	rna	14h	rep1	0.73
ENST00000357733.7_111_1776	rna	14h	rep2	0
ENST00000357733.7_111_1776	rna	14h	rep3	0.33
ENST00000378295.8_156_2064	rna	0h	rep1	3.87
ENST00000378295.8_156_2064	rna	0h	rep2	8.4
ENST00000378295.8_156_2064	rna	0h	rep3	3.97
ENST00000378295.8_156_2064	rna	14h	rep1	0.73
ENST00000378295.8_156_2064	rna	14h	rep2	0
ENST00000378295.8_156_2064	rna	14h	rep3	0.33
ENST00000604074.5_156_1365	rna	0h	rep1	3.2
ENST00000604074.5_156_1365	rna	0h	rep2	4.4
ENST00000604074.5_156_1365	rna	0h	rep3	1.8
ENST00000604074.5_156_1365	rna	14h	rep1	0.4
ENST00000604074.5_156_1365	rna	14h	rep2	0
ENST00000604074.5_156_1365	rna	14h	rep3	0
ENST00000378251.2_29_1778	rna	0h	rep1	118
ENST00000378251.2_29_1778	rna	0h	rep2	146
ENST00000378251.2_29_1778	rna	0h	rep3	102
ENST00000378251.2_29_1778	rna	14h	rep1	167
ENST00000378251.2_29_1778	rna	14h	rep2	125
ENST00000378251.2_29_1778	rna	14h	rep3	199
ENST00000378230.7_524_3101	rna	0h	rep1	116
ENST00000378230.7_524_3101	rna	0h	rep2	123
ENST00000378230.7_524_3101	rna	0h	rep3	105
ENST00000378230.7_524_3101	rna	14h	rep1	94
ENST00000378230.7_524_3101	rna	14h	rep2	62
ENST00000378230.7_524_3101	rna	14h	rep3	77
ENST00000338895.7_602_1424	rna	0h	rep1	16
ENST00000338895.7_602_1424	rna	0h	rep2	12
ENST00000338895.7_602_1424	rna	0h	rep3	10
ENST00000338895.7_602_1424	rna	14h	rep1	3
ENST00000338895.7_602_1424	rna	14h	rep2	5
